material,Vset,Vreset,dt,endurance,latency,energy
HfO2,3.597230700481001,-3.775404917076613,5.02084701888964e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
HfO2,3.7072550952344114,-3.7716720115164875,5.0173336635265886e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
TiO2,3.1404860199568208,-3.2633643915495973,5.0183143642616576e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
TiO2,1.276434570617252,-1.1948497744559323,5.018208664079853e-08,6507696783.33902,7.689950223266351e-07,2.09683874430322e-10
HfO2,3.7541407553237542,-3.885204205604198,5.017416542366452e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
HfO2,3.5000178893965703,-3.5080253809889625,5.014464411271149e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
TiO2,3.675672564038731,-3.5296539164591096,5.016568513985133e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
HfO2,3.5137058671081665,-3.5370091212367964,5.017574407568605e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
HfO2,3.4993052076204636,-1.2583085238084482,5.0184084255001666e-08,267819.86404442514,2.038802904280601e-08,1.0818014678504184e-09
Al2O3,3.2607294227184616,-1.087128046170804,5.018351267428673e-08,63919970.06626337,2.8878019975309144e-08,1.0700374215161235e-09
HfO2,3.6258923938911245,-3.641469368582371,5.019109187013276e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
Al2O3,3.589270856368997,-1.0819822914377846,5.015408201813656e-08,63919970.06626337,2.8878019975309144e-08,1.0700374215161235e-09
TiO2,1.5580846335632714,-1.6389715436033474,5.018370571433221e-08,6507696783.33902,7.689950223266351e-07,2.09683874430322e-10
Al2O3,3.7252434623708277,-3.434501303026841,5.0197540418225134e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
HfO2,3.6032613236445776,-3.672799364414308,5.0181343299201794e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
TiO2,3.7466203408881507,-3.8794482461567488,5.0197486803322195e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
TiO2,1.056797351743908,-1.221857585920556,5.01972841102922e-08,6507696783.33902,7.689950223266351e-07,2.09683874430322e-10
TiO2,3.8073249578070483,-3.9848765545290976,5.0164996489949544e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
TiO2,3.95006205150072,-3.9751549333703657,5.017165108367008e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
TiO2,3.6718772053261173,-3.879996061619381,5.016906384323582e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
